,Vreme,PM10 [ug.m-3],O3 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],PM2.5 [ug.m-3],PM1 [ug.m-3],V [m/s],dd [°],P [mb],t [°C],Rh [%]
0,2019-11-03 17:00:00,21.66,35.36,21.23,31.44,0.3,6.67,17.04,16.13,2.01,224.93,992.87,20.16,55.64
1,2019-11-03 18:00:00,24.14,33.42,22.74,34.53,0.3,7.65,18.15,16.87,1.83,229.53,992.72,19.87,56.26
2,2019-11-03 19:00:00,24.2,34.39,22.95,34.0,0.32,7.25,17.91,16.56,2.17,227.1,992.13,19.7,56.96
3,2019-11-03 20:00:00,22.06,36.53,19.88,29.92,0.35,6.54,16.34,15.48,1.85,230.43,992.12,19.65,57.0
4,2019-11-03 21:00:00,22.16,38.23,16.79,25.34,0.3,5.58,17.41,15.95,1.83,228.89,991.99,19.3,58.04
5,2019-11-03 22:00:00,20.71,43.13,12.43,19.07,0.28,4.38,14.31,13.07,1.9,227.52,991.65,19.46,57.43
6,2019-11-03 23:00:00,16.75,45.68,10.51,17.66,0.24,4.53,13.04,11.82,2.31,228.4,991.34,19.26,57.99
7,2019-11-04 00:00:00,16.17,48.7,8.48,13.77,0.23,3.92,12.2,10.9,2.45,225.23,990.96,19.34,57.68
8,2019-11-04 01:00:00,15.76,52.72,5.12,9.85,0.2,3.07,10.77,9.56,2.28,227.57,990.32,19.47,57.29
9,2019-11-04 02:00:00,14.47,54.79,3.55,7.43,0.19,2.54,10.42,9.15,2.27,224.82,989.94,19.54,56.94
10,2019-11-04 03:00:00,12.97,55.17,2.87,6.61,0.19,2.46,10.07,8.82,1.92,228.7,989.8,19.61,57.14
11,2019-11-04 04:00:00,13.02,56.07,,,0.18,,8.95,8.13,2.55,228.61,989.45,19.73,57.62
12,2019-11-04 05:00:00,11.63,52.46,4.9,9.6,0.19,3.07,9.2,8.42,2.03,226.3,989.08,19.61,58.87
13,2019-11-04 06:00:00,14.07,,9.34,15.0,0.23,3.65,10.38,9.39,2.25,227.4,988.94,19.63,59.3
14,2019-11-04 07:00:00,17.86,40.54,18.39,27.92,0.27,6.18,11.25,10.12,2.23,227.79,989.01,19.92,57.76
15,2019-11-04 08:00:00,17.41,38.94,22.52,35.5,0.31,8.5,11.23,9.72,1.85,228.93,988.77,20.4,56.29
16,2019-11-04 09:00:00,19.7,32.87,32.42,55.01,0.32,14.51,10.2,8.76,1.72,224.37,988.78,21.07,54.44
17,2019-11-04 10:00:00,22.85,32.89,31.17,47.52,0.31,10.94,11.12,9.17,1.35,232.05,988.92,21.56,52.99
18,2019-11-04 11:00:00,24.12,26.74,39.97,66.95,0.34,17.56,11.64,9.27,0.95,231.3,988.89,22.36,51.35
19,2019-11-04 12:00:00,22.87,24.44,38.59,67.7,0.35,19.2,11.03,9.34,0.97,235.05,989.21,21.79,55.11
20,2019-11-04 13:00:00,10.62,28.29,16.21,30.83,0.24,9.41,6.85,4.6,0.24,263.67,991.07,17.94,73.25
21,2019-11-04 14:00:00,9.99,22.43,32.45,51.83,0.31,12.44,6.84,5.16,0.11,263.08,991.16,19.05,71.2
22,2019-11-04 15:00:00,13.86,13.33,43.36,65.96,0.36,14.78,9.42,7.69,0.07,230.24,991.65,19.92,65.44
23,2019-11-04 16:00:00,20.17,1.97,50.65,96.29,0.47,29.65,13.8,11.0,0.05,352.64,992.41,19.81,66.29
24,2019-11-04 17:00:00,35.3,2.08,56.87,182.11,0.75,81.64,23.42,20.62,0.16,239.36,993.49,19.6,65.81
25,2019-11-04 18:00:00,16.03,10.39,41.09,65.21,0.38,15.9,8.59,7.29,0.13,343.5,994.57,19.97,61.67
26,2019-11-04 19:00:00,29.7,2.33,47.16,109.28,0.65,40.33,20.86,17.11,0.17,240.12,995.3,19.17,64.11
27,2019-11-04 20:00:00,25.87,1.69,49.45,131.68,0.64,53.61,17.82,15.06,0.19,225.22,996.01,18.41,65.55
28,2019-11-04 21:00:00,35.25,1.83,45.13,139.32,0.72,61.56,25.92,23.37,0.06,252.99,996.4,18.14,65.29
29,2019-11-04 22:00:00,24.73,3.16,34.52,70.53,0.48,23.68,20.35,18.46,0.18,225.45,996.52,17.62,66.06
30,2019-11-04 23:00:00,18.55,8.31,26.37,44.91,0.39,12.12,13.65,12.14,0.13,247.56,996.77,17.59,65.0
31,2019-11-05 00:00:00,17.78,18.52,23.79,34.96,0.31,7.35,10.09,7.73,0.04,224.79,996.99,17.52,57.69
32,2019-11-05 01:00:00,11.54,37.69,13.03,20.19,0.25,4.72,6.16,4.29,0.44,220.35,997.2,17.41,51.08
33,2019-11-05 02:00:00,7.48,46.73,9.05,14.56,0.21,3.62,4.27,2.57,0.22,232.59,997.02,17.41,49.1
34,2019-11-05 03:00:00,6.73,51.36,7.32,12.64,0.21,3.47,3.77,2.28,0.32,205.7,997.1,17.93,46.72
35,2019-11-05 04:00:00,6.44,53.27,6.72,11.45,0.19,3.08,3.63,2.23,0.27,212.09,997.13,18.11,45.57
36,2019-11-05 05:00:00,7.14,46.25,13.77,19.12,0.2,3.43,3.81,2.3,0.45,213.84,997.11,18.01,45.26
37,2019-11-05 06:00:00,11.23,28.83,29.97,39.68,0.23,6.19,4.36,2.67,0.29,225.09,997.41,18.26,44.08
38,2019-11-05 07:00:00,75.64,15.79,46.62,72.72,0.58,16.36,9.13,4.45,0.28,219.93,997.62,18.98,43.42
39,2019-11-05 08:00:00,22.04,25.85,39.8,63.01,0.32,15.11,7.23,4.18,0.44,205.44,997.64,20.8,42.27
40,2019-11-05 09:00:00,31.53,28.4,41.38,70.71,0.36,18.53,8.62,5.16,0.55,211.49,997.39,22.62,39.43
41,2019-11-05 10:00:00,33.02,42.28,28.67,50.5,0.29,13.99,6.18,3.44,0.77,219.14,996.76,24.42,35.7
42,2019-11-05 11:00:00,29.43,45.38,30.41,50.03,0.28,13.11,5.35,2.91,1.0,225.12,995.67,25.78,33.19
43,2019-11-05 12:00:00,41.69,45.89,21.65,36.41,0.29,9.6,5.8,2.54,0.77,227.78,994.97,26.33,32.54
44,2019-11-05 13:00:00,23.59,44.58,30.54,48.36,0.29,12.14,5.7,3.19,0.8,232.36,994.21,26.42,32.72
45,2019-11-05 14:00:00,18.86,36.76,42.43,65.54,0.35,16.18,6.03,3.82,0.72,226.11,993.59,26.63,32.77
46,2019-11-05 15:00:00,48.42,23.39,48.95,89.32,0.41,25.75,9.89,5.71,0.85,233.75,993.35,25.74,34.85
47,2019-11-05 16:00:00,22.56,20.12,49.11,78.41,0.43,18.97,9.45,6.74,1.03,229.01,993.13,24.47,38.3
48,2019-11-05 17:00:00,20.19,19.46,50.05,79.43,0.41,19.08,10.2,7.54,1.19,228.01,993.11,23.78,40.88
49,2019-11-05 18:00:00,19.33,27.45,39.39,60.09,0.39,13.15,10.44,7.83,1.46,229.28,993.02,22.88,43.44
50,2019-11-05 19:00:00,16.75,36.68,31.68,47.63,0.37,10.33,9.62,7.1,1.65,227.58,992.73,22.38,44.57
51,2019-11-05 20:00:00,15.78,44.3,23.55,35.18,0.3,7.56,9.33,6.55,2.09,224.98,992.34,21.82,46.07
52,2019-11-05 21:00:00,15.44,44.84,21.51,31.06,0.28,6.21,9.21,6.71,1.71,230.27,992.08,21.55,47.61
53,2019-11-05 22:00:00,13.62,47.5,18.86,26.43,0.26,4.97,8.46,5.96,1.78,229.97,991.71,21.31,48.55
54,2019-11-05 23:00:00,12.92,49.44,16.76,25.1,0.25,5.45,7.71,5.23,1.53,229.14,991.55,21.44,47.99
55,2019-11-06 00:00:00,10.69,54.12,11.99,17.59,0.22,3.66,6.55,4.4,1.44,229.09,991.65,21.38,48.2
56,2019-11-06 01:00:00,10.55,57.63,8.34,13.29,0.19,3.23,5.5,3.61,1.36,231.46,991.53,21.62,48.14
57,2019-11-06 02:00:00,9.83,57.49,6.73,11.41,0.19,3.06,5.74,3.66,1.31,232.97,991.42,21.55,48.58
58,2019-11-06 03:00:00,10.25,59.39,4.81,8.91,0.18,2.67,4.81,2.91,1.13,231.85,991.61,21.69,47.57
59,2019-11-06 04:00:00,14.0,53.22,2.96,7.32,0.2,2.85,5.99,4.52,1.72,18.59,993.65,19.64,56.96
60,2019-11-06 05:00:00,4.49,44.63,1.98,6.17,0.16,2.74,1.93,1.41,1.4,41.58,995.61,17.49,67.35
61,2019-11-06 06:00:00,1.99,32.65,7.91,37.13,0.18,19.31,1.69,1.06,0.83,34.71,996.71,16.7,70.51
62,2019-11-06 07:00:00,4.27,21.95,12.72,23.66,0.23,7.11,3.3,2.22,0.41,47.06,997.62,16.18,73.66
63,2019-11-06 08:00:00,5.27,13.83,22.35,42.78,0.27,13.2,3.86,2.98,0.48,234.26,998.71,15.5,77.71
64,2019-11-06 09:00:00,8.0,9.49,33.43,61.09,,18.02,6.21,4.84,0.21,240.48,998.74,15.75,78.52
65,2019-11-06 10:00:00,15.66,3.06,48.96,108.49,0.47,38.78,11.56,9.92,0.39,245.0,998.84,16.06,77.8
66,2019-11-06 11:00:00,20.54,4.09,50.0,111.33,0.53,40.28,15.22,13.28,0.36,251.4,998.9,16.24,76.85
67,2019-11-06 12:00:00,20.0,4.63,48.25,106.56,0.49,38.15,15.44,13.52,0.56,233.94,998.87,16.51,74.37
68,2019-11-06 13:00:00,19.35,7.98,43.31,90.53,0.42,31.56,14.26,12.42,0.94,233.66,998.56,16.32,75.01
