,Vreme,SO2 [ug.m-3],O3 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C]
0,2019-10-12 17:00:00,20.78,48.59,21.68,28.16,0.34,4.16,0.42,115.59,1015.67,22.81
1,2019-10-12 18:00:00,14.82,35.95,23.31,29.73,0.36,4.22,0.91,131.52,1015.93,19.13
2,2019-10-12 19:00:00,12.47,40.89,18.9,25.31,0.33,4.15,0.95,131.06,1016.32,17.23
3,2019-10-12 20:00:00,12.04,44.82,14.8,22.19,0.28,4.78,0.99,137.33,1016.57,16.24
4,2019-10-12 21:00:00,12.45,55.13,11.64,17.97,0.25,4.14,0.86,136.7,1016.87,15.72
5,2019-10-12 22:00:00,12.3,58.09,11.05,16.55,0.23,3.64,0.76,142.26,1016.92,15.55
6,2019-10-12 23:00:00,12.19,60.57,7.45,13.14,0.18,3.7,0.8,142.58,1016.77,14.94
7,2019-10-13 00:00:00,11.75,66.02,5.8,8.88,0.12,1.99,0.98,137.23,1016.74,14.75
8,2019-10-13 01:00:00,11.57,44.45,17.94,23.96,0.17,3.87,0.3,123.62,1016.75,14.74
9,2019-10-13 02:00:00,11.55,31.23,22.76,29.2,0.19,4.25,0.31,124.94,1016.64,14.43
10,2019-10-13 03:00:00,11.43,51.31,7.22,13.08,0.11,3.83,0.29,131.41,1016.56,13.32
11,2019-10-13 04:00:00,10.74,12.33,17.86,25.16,0.24,4.81,0.51,139.38,1016.66,12.36
12,2019-10-13 05:00:00,10.53,40.96,8.96,14.06,0.11,3.38,0.46,125.3,1016.68,11.96
13,2019-10-13 06:00:00,10.71,41.12,5.84,11.21,0.11,3.46,0.47,116.28,1016.74,12.29
14,2019-10-13 07:00:00,10.74,23.62,17.61,38.98,0.21,14.37,0.15,112.86,1017.11,12.69
15,2019-10-13 08:00:00,12.27,20.18,19.86,32.81,0.25,8.37,0.27,92.91,1017.7,15.27
16,2019-10-13 09:00:00,13.48,34.4,20.2,34.94,0.32,9.72,0.32,54.25,1017.84,18.9
17,2019-10-13 10:00:00,17.28,63.13,14.74,23.78,0.32,5.86,0.39,39.02,1017.85,21.73
18,2019-10-13 11:00:00,20.38,70.34,17.61,26.4,0.34,5.7,0.24,358.71,1017.73,23.14
19,2019-10-13 12:00:00,24.24,88.21,17.09,23.34,0.32,4.08,0.57,115.41,1017.33,23.97
20,2019-10-13 13:00:00,23.37,99.12,15.35,22.02,0.31,4.32,0.67,156.11,1016.82,25.1
21,2019-10-13 14:00:00,20.43,106.11,13.3,20.1,0.29,4.43,0.65,150.75,1016.09,25.11
22,2019-10-13 15:00:00,18.11,107.57,11.68,18.05,0.31,4.14,0.31,112.74,1015.66,25.52
23,2019-10-13 16:00:00,15.5,83.81,15.04,20.93,0.44,3.77,0.03,117.48,1015.33,24.86
24,2019-10-13 17:00:00,15.66,62.62,27.59,34.3,0.61,4.4,0.66,129.54,1015.28,22.63
25,2019-10-13 18:00:00,13.24,57.74,21.43,28.63,0.42,4.68,0.8,127.27,1015.69,19.97
26,2019-10-13 19:00:00,11.94,58.18,18.86,24.29,0.41,3.63,0.76,125.25,1016.11,18.2
27,2019-10-13 20:00:00,11.21,64.04,13.31,20.56,0.32,4.72,1.04,131.08,1016.23,17.09
28,2019-10-13 21:00:00,11.64,68.89,13.75,18.45,0.29,3.05,0.87,138.57,1016.29,17.12
29,2019-10-13 22:00:00,11.95,69.35,,,0.28,,0.71,132.87,1016.4,16.9
30,2019-10-13 23:00:00,11.87,56.81,12.06,17.96,,3.78,0.5,125.71,1016.41,16.4
31,2019-10-14 00:00:00,10.85,11.85,29.26,39.35,0.37,6.67,0.59,128.45,1016.31,14.8
32,2019-10-14 01:00:00,10.72,41.3,10.97,16.43,0.29,3.56,0.57,129.43,1016.09,14.48
33,2019-10-14 02:00:00,,,10.45,17.19,0.28,4.38,0.49,117.29,1015.86,14.23
34,2019-10-14 03:00:00,10.43,51.49,4.18,9.29,0.24,3.37,0.6,124.51,1015.47,14.73
35,2019-10-14 04:00:00,11.18,48.46,5.28,10.43,0.22,3.33,0.44,127.93,1015.5,15.18
36,2019-10-14 05:00:00,11.12,35.13,8.78,15.57,0.21,4.42,0.37,130.04,1015.67,14.53
37,2019-10-14 06:00:00,10.98,18.58,15.65,23.17,0.24,4.84,0.41,120.84,1015.57,13.68
38,2019-10-14 07:00:00,11.3,7.73,26.03,45.24,0.41,12.45,0.09,128.27,1015.83,14.3
39,2019-10-14 08:00:00,13.05,9.58,29.49,61.2,0.4,20.74,0.28,126.23,1016.4,16.24
40,2019-10-14 09:00:00,16.37,10.66,35.53,82.85,0.56,30.79,0.48,115.89,1016.58,19.51
41,2019-10-14 10:00:00,16.79,14.24,35.98,83.72,0.5,31.2,0.73,116.24,1016.51,20.9
42,2019-10-14 11:00:00,22.61,54.06,29.04,43.07,0.43,9.3,0.35,25.93,1016.13,23.9
43,2019-10-14 12:00:00,22.12,96.57,11.84,18.26,0.37,4.23,0.38,99.13,1015.48,25.14
44,2019-10-14 13:00:00,,,,,,,0.86,93.78,1014.4,26.17
45,2019-10-14 14:00:00,16.81,112.51,8.61,14.68,0.33,3.9,0.69,75.69,1013.89,26.67
46,2019-10-14 15:00:00,18.27,114.79,13.73,18.39,0.38,2.95,0.46,71.37,1013.36,26.49
47,2019-10-14 16:00:00,16.98,93.45,23.74,30.94,0.46,4.64,0.2,23.93,1013.04,26.14
48,2019-10-14 17:00:00,15.64,58.16,36.26,44.87,0.56,5.64,0.34,121.95,1012.82,24.49
49,2019-10-14 18:00:00,13.56,53.6,27.85,33.58,0.44,3.79,0.95,145.87,1012.95,21.37
50,2019-10-14 19:00:00,13.14,62.1,20.15,25.9,0.37,3.8,0.85,137.42,1012.99,19.44
51,2019-10-14 20:00:00,12.64,61.86,18.68,24.66,0.37,3.91,0.92,133.09,1012.89,18.47
52,2019-10-14 21:00:00,12.11,44.19,22.51,30.84,0.38,5.39,0.31,118.65,1012.93,18.09
53,2019-10-14 22:00:00,11.95,45.74,18.71,25.07,0.32,4.24,0.54,133.47,1012.71,17.44
54,2019-10-14 23:00:00,11.7,27.11,19.48,28.87,0.34,6.14,0.22,121.09,1012.49,16.53
55,2019-10-15 00:00:00,10.72,31.4,13.53,20.01,0.28,4.22,0.28,125.87,1012.21,16.28
56,2019-10-15 01:00:00,11.27,30.6,10.68,16.6,0.28,3.85,0.42,123.41,1012.03,15.92
57,2019-10-15 02:00:00,11.29,19.11,15.06,21.98,0.25,4.49,0.34,114.19,1011.64,15.11
58,2019-10-15 03:00:00,11.13,22.75,9.61,18.21,0.25,5.62,0.29,114.45,1011.48,14.79
59,2019-10-15 04:00:00,11.52,21.09,7.27,13.91,0.25,4.27,0.29,128.09,1011.63,14.47
60,2019-10-15 05:00:00,11.38,18.3,13.77,22.63,0.25,5.7,0.36,118.44,1011.38,14.41
61,2019-10-15 06:00:00,11.43,13.44,17.43,26.23,0.33,5.64,0.23,114.97,1011.26,14.33
62,2019-10-15 07:00:00,11.77,2.96,20.81,46.82,0.61,16.96,0.41,179.67,1011.63,13.86
63,2019-10-15 08:00:00,12.49,12.83,16.35,36.75,0.49,13.36,0.37,161.38,1012.3,15.16
64,2019-10-15 09:00:00,20.81,34.7,28.1,47.89,0.51,12.98,0.32,306.94,1012.34,18.76
65,2019-10-15 10:00:00,21.27,46.26,19.48,29.93,0.41,6.41,0.45,312.44,1012.31,21.47
66,2019-10-15 11:00:00,23.63,73.85,14.17,22.97,0.36,5.42,0.23,322.59,1012.13,23.17
67,2019-10-15 12:00:00,26.67,92.43,12.76,18.55,0.35,3.74,0.35,142.71,1011.51,24.53
68,2019-10-15 13:00:00,27.31,104.45,12.81,18.41,0.35,3.65,0.46,149.45,1010.78,25.45
69,2019-10-15 14:00:00,26.71,109.26,15.61,23.07,0.37,4.77,0.39,44.03,1010.15,26.62
70,2019-10-15 15:00:00,25.53,120.99,13.9,19.19,0.44,3.45,0.33,89.51,1009.55,26.57
71,2019-10-15 16:00:00,23.1,112.68,19.1,26.1,0.44,4.48,0.21,93.15,1008.96,25.5
72,2019-10-15 17:00:00,18.2,73.79,30.11,36.57,0.53,4.15,0.22,129.06,1008.79,24.37
73,2019-10-15 18:00:00,13.97,58.61,25.31,32.76,0.41,4.91,0.93,134.75,1008.81,20.55
74,2019-10-15 19:00:00,14.0,66.81,16.65,23.86,0.34,4.73,0.92,135.68,1009.03,18.95
