,Vreme,SO2 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C],Rh [%]
0,2019-11-03 17:00:00,6.78,16.36,21.35,0.4,3.23,2.43,50.52,982.39,18.23,61.38
1,2019-11-03 18:00:00,6.78,18.44,25.67,0.43,4.74,2.22,53.1,982.39,18.35,61.23
2,2019-11-03 19:00:00,6.95,14.27,19.85,0.35,3.65,3.51,54.9,982.09,18.52,60.88
3,2019-11-03 20:00:00,7.07,13.93,18.77,0.35,3.17,3.67,57.52,982.07,18.38,60.75
4,2019-11-03 21:00:00,7.12,12.83,17.3,0.32,2.91,3.95,58.86,981.89,18.11,61.42
5,2019-11-03 22:00:00,7.02,11.92,15.86,0.29,2.56,4.39,59.06,981.33,17.91,61.9
6,2019-11-03 23:00:00,7.08,11.32,15.34,0.29,2.67,3.95,56.72,980.92,17.69,62.53
7,2019-11-04 00:00:00,7.24,10.63,13.54,0.25,1.91,4.33,55.87,980.55,17.38,63.82
8,2019-11-04 01:00:00,7.3,9.6,13.43,0.26,2.49,4.01,52.79,980.28,17.19,64.66
9,2019-11-04 02:00:00,7.31,8.93,12.39,0.22,2.27,3.92,60.26,979.92,17.42,64.86
10,2019-11-04 03:00:00,7.35,8.55,12.05,0.23,2.28,3.43,50.18,979.83,17.55,65.31
11,2019-11-04 04:00:00,7.4,9.23,11.84,0.22,1.71,3.4,49.83,979.69,17.52,65.93
12,2019-11-04 05:00:00,,11.53,15.7,0.24,2.71,3.54,50.4,979.06,17.58,65.17
13,2019-11-04 06:00:00,6.85,,,0.29,,3.54,57.16,978.84,17.82,64.16
14,2019-11-04 07:00:00,7.28,15.41,21.25,,3.81,4.23,57.53,978.76,18.19,62.52
15,2019-11-04 08:00:00,7.74,12.65,16.73,0.28,2.67,3.82,54.5,979.0,18.52,61.83
16,2019-11-04 09:00:00,7.63,13.41,17.42,0.3,2.61,4.31,56.62,979.0,19.19,60.15
17,2019-11-04 10:00:00,7.66,14.71,19.71,0.33,3.22,3.24,54.32,978.77,19.81,58.14
18,2019-11-04 11:00:00,7.49,21.41,28.58,0.39,4.67,2.04,43.69,978.37,21.2,52.39
19,2019-11-04 12:00:00,7.67,26.89,44.97,0.42,11.63,0.65,31.19,978.13,21.66,46.5
20,2019-11-04 13:00:00,8.18,35.19,61.38,0.55,17.06,0.57,38.09,978.83,20.61,52.03
21,2019-11-04 14:00:00,7.91,30.4,49.66,0.63,12.7,1.53,28.78,979.35,19.54,67.07
22,2019-11-04 15:00:00,9.38,35.17,108.38,1.48,47.83,0.63,19.66,979.48,19.99,58.2
23,2019-11-04 16:00:00,8.21,33.17,83.07,0.87,32.71,0.42,354.06,980.59,19.11,55.94
24,2019-11-04 17:00:00,8.95,22.24,108.09,1.08,55.13,0.48,12.54,981.73,16.8,63.47
25,2019-11-04 18:00:00,10.18,28.75,178.16,1.65,97.63,0.65,256.18,982.49,15.44,67.56
26,2019-11-04 19:00:00,8.11,26.38,96.46,0.92,45.93,0.44,0.53,983.72,15.28,63.16
27,2019-11-04 20:00:00,9.15,20.11,136.1,1.25,76.23,0.36,334.78,984.94,14.03,64.46
28,2019-11-04 21:00:00,7.33,19.34,85.55,1.24,43.52,0.47,351.69,985.62,12.83,68.15
29,2019-11-04 22:00:00,7.11,15.41,73.08,0.86,37.45,0.53,355.65,985.85,11.73,70.75
30,2019-11-04 23:00:00,6.31,15.8,47.73,0.85,20.97,0.5,15.02,986.16,10.23,74.06
31,2019-11-05 00:00:00,6.2,19.11,42.0,0.66,14.98,0.26,285.42,986.66,9.39,77.77
32,2019-11-05 01:00:00,5.73,15.07,28.09,0.46,8.51,0.32,308.06,986.92,9.35,79.22
33,2019-11-05 02:00:00,5.9,12.65,25.45,0.46,8.33,0.32,316.96,986.84,8.52,79.45
34,2019-11-05 03:00:00,5.55,11.82,19.54,0.41,5.0,0.32,314.44,986.85,8.03,80.34
35,2019-11-05 04:00:00,5.52,12.69,22.42,0.41,6.36,0.41,294.98,986.92,8.36,80.8
36,2019-11-05 05:00:00,8.31,11.81,118.11,0.83,69.16,0.44,328.08,986.86,8.54,80.28
37,2019-11-05 06:00:00,8.11,17.08,122.39,0.98,68.56,0.23,337.62,987.22,8.23,80.1
38,2019-11-05 07:00:00,10.36,16.05,212.55,1.37,127.83,0.44,334.98,987.74,10.27,79.74
39,2019-11-05 08:00:00,9.01,29.02,144.87,1.1,75.48,0.5,314.26,987.57,15.43,69.89
40,2019-11-05 09:00:00,7.45,34.26,92.76,0.99,38.2,0.87,358.16,987.13,21.63,46.53
41,2019-11-05 10:00:00,6.3,26.67,41.19,0.4,9.58,2.06,39.0,986.63,21.39,43.53
42,2019-11-05 11:00:00,6.07,21.95,32.5,0.42,6.93,3.4,44.92,985.78,21.67,45.62
43,2019-11-05 12:00:00,6.47,21.88,33.15,0.35,7.35,3.21,52.6,984.56,23.32,40.01
44,2019-11-05 13:00:00,6.18,19.01,27.22,0.34,5.38,3.75,52.25,983.71,23.29,39.94
45,2019-11-05 14:00:00,6.15,18.11,25.69,0.33,4.98,3.85,52.54,983.31,22.51,43.5
46,2019-11-05 15:00:00,6.23,21.76,29.4,0.38,4.99,3.99,54.84,983.22,21.81,45.39
47,2019-11-05 16:00:00,6.34,23.23,30.52,0.38,4.76,3.59,51.07,983.19,21.42,46.16
48,2019-11-05 17:00:00,6.55,23.35,29.82,0.45,4.19,3.5,51.91,983.26,20.95,47.07
49,2019-11-05 18:00:00,6.32,26.48,35.25,0.52,5.76,2.87,45.46,983.16,20.11,49.92
50,2019-11-05 19:00:00,6.18,20.91,27.24,0.38,4.15,3.16,43.79,982.73,20.19,50.83
51,2019-11-05 20:00:00,6.36,17.48,22.58,0.33,3.34,3.14,46.85,982.14,20.11,50.87
52,2019-11-05 21:00:00,6.63,14.15,18.75,0.3,3.02,2.93,49.94,981.51,20.08,50.6
53,2019-11-05 22:00:00,6.12,13.25,17.29,0.3,2.66,2.88,51.0,981.33,19.79,52.11
54,2019-11-05 23:00:00,6.39,11.32,16.2,0.26,3.18,3.9,54.92,981.31,20.15,52.48
55,2019-11-06 00:00:00,6.45,10.88,14.65,0.23,2.47,4.04,57.78,981.08,20.02,50.93
56,2019-11-06 01:00:00,6.45,9.56,12.73,0.24,2.1,3.32,54.01,981.18,19.9,50.19
57,2019-11-06 02:00:00,6.63,11.98,15.65,0.25,2.41,0.55,1.81,981.14,19.0,52.26
