,Vreme,SO2 [ug.m-3],PM10 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],NO [ug.m-3],PM2.5 [ug.m-3],V [m/s],dd [°],P [mb],t [°C]
0,2019-11-03 18:00:00,4.73,25.24,22.16,53.34,20.17,23.27,0.68,145.81,983.69,17.58
1,2019-11-03 19:00:00,4.85,26.18,28.8,70.44,27.33,21.94,0.47,152.41,983.2,17.18
2,2019-11-03 20:00:00,4.96,35.16,36.76,87.21,33.04,31.45,0.16,295.21,983.1,15.91
3,2019-11-03 21:00:00,5.87,67.41,39.82,120.28,52.63,63.42,0.07,88.2,983.08,14.6
4,2019-11-03 22:00:00,6.69,90.22,38.08,144.83,69.61,87.36,0.22,84.6,982.7,13.42
5,2019-11-03 23:00:00,4.77,73.47,29.95,104.85,48.96,71.02,0.23,119.62,982.1,13.04
6,2019-11-04 00:00:00,3.35,25.26,14.56,55.79,27.11,25.19,0.63,140.5,981.68,15.5
7,2019-11-04 01:00:00,3.68,11.34,8.96,41.18,21.07,11.63,1.67,126.14,981.13,17.86
8,2019-11-04 02:00:00,4.24,9.32,7.56,35.0,17.9,8.38,1.39,121.22,980.69,18.29
9,2019-11-04 03:00:00,4.54,8.76,7.94,31.5,15.37,8.18,1.32,117.52,980.47,18.42
10,2019-11-04 04:00:00,,9.71,8.51,29.83,13.91,7.58,1.43,129.12,980.11,18.53
11,2019-11-04 05:00:00,4.0,9.32,,,,7.46,1.44,126.19,979.54,18.94
12,2019-11-04 06:00:00,6.96,26.16,36.16,110.84,49.05,21.89,0.35,128.37,979.41,18.43
13,2019-11-04 07:00:00,10.46,36.53,52.26,201.35,97.04,28.07,0.19,309.72,979.45,18.67
14,2019-11-04 08:00:00,6.94,18.8,26.71,105.68,52.1,10.49,0.51,157.23,979.17,21.34
15,2019-11-04 09:00:00,4.07,23.43,16.39,64.69,31.53,8.42,1.09,165.81,979.15,22.22
16,2019-11-04 10:00:00,4.57,14.77,21.75,57.4,23.27,9.29,0.68,152.23,978.7,21.31
17,2019-11-04 11:00:00,4.16,60.4,15.44,43.94,18.65,14.82,1.23,153.01,978.16,21.41
18,2019-11-04 12:00:00,4.76,19.9,16.99,43.95,17.57,9.56,0.42,206.62,977.86,19.87
19,2019-11-04 13:00:00,5.08,14.04,17.52,44.57,17.64,8.66,0.81,148.94,977.73,20.11
20,2019-11-04 14:00:00,5.21,11.65,18.9,44.74,16.85,8.53,0.93,155.15,978.24,20.58
21,2019-11-04 15:00:00,4.49,37.48,14.79,35.95,13.82,9.53,0.76,174.19,978.7,20.26
22,2019-11-04 16:00:00,4.0,9.16,19.84,45.19,16.23,6.85,0.53,166.99,979.58,19.53
23,2019-11-04 17:00:00,3.96,7.41,17.4,40.17,14.94,5.33,0.65,168.28,980.41,18.55
24,2019-11-04 18:00:00,4.14,14.93,17.82,38.46,13.48,7.12,0.5,163.66,981.35,18.29
25,2019-11-04 19:00:00,5.07,11.5,19.34,41.55,14.51,7.83,0.27,160.7,982.3,17.43
