,Vreme,SO2 [ug.m-3],O3 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C],Rh [%]
0,2019-11-03 18:00:00,20.17,44.84,3.97,8.29,0.22,2.84,1.44,100.27,994.74,19.05,61.57
1,2019-11-03 19:00:00,20.75,45.51,5.39,9.62,0.23,2.71,1.44,127.3,994.16,18.72,63.14
2,2019-11-03 20:00:00,30.67,54.52,4.45,8.4,0.18,2.61,2.25,137.82,994.08,19.75,58.87
3,2019-11-03 21:00:00,23.23,48.0,2.88,6.97,0.2,2.65,1.52,136.23,994.09,18.51,61.67
4,2019-11-03 22:00:00,18.36,45.85,3.14,5.7,0.21,1.67,1.64,137.55,993.56,17.91,64.44
5,2019-11-03 23:00:00,17.74,51.88,1.43,4.09,0.19,1.68,2.1,132.89,993.16,18.4,63.0
6,2019-11-04 00:00:00,17.63,55.89,0.84,2.86,0.17,1.28,2.56,133.75,992.71,18.94,60.22
7,2019-11-04 01:00:00,16.34,57.49,,2.77,0.16,1.95,2.48,141.95,992.19,18.87,60.18
8,2019-11-04 02:00:00,15.87,55.23,0.5,4.21,0.16,2.71,2.15,135.33,992.04,18.42,61.93
9,2019-11-04 03:00:00,17.74,55.42,0.61,4.7,0.15,2.69,3.2,135.98,991.4,18.71,61.66
10,2019-11-04 04:00:00,22.15,54.25,,,0.14,,3.28,131.9,991.27,18.92,61.44
11,2019-11-04 05:00:00,21.28,54.0,1.5,4.51,,1.98,2.47,133.55,990.96,18.75,62.48
12,2019-11-04 06:00:00,20.37,51.29,1.5,6.11,0.14,3.06,2.73,141.45,990.82,18.74,64.98
13,2019-11-04 07:00:00,27.44,49.7,4.71,8.31,0.14,2.36,2.87,136.31,991.01,19.15,64.3
14,2019-11-04 08:00:00,,,4.17,8.55,0.15,3.11,3.07,145.05,991.07,19.62,62.78
15,2019-11-04 09:00:00,27.98,52.32,3.85,8.53,0.15,3.03,3.08,143.17,991.0,19.82,62.4
16,2019-11-04 10:00:00,28.33,52.12,4.21,8.48,0.16,2.73,2.11,140.73,991.09,20.34,61.83
17,2019-11-04 11:00:00,21.47,55.7,2.31,5.48,0.15,2.07,1.93,141.26,991.31,20.75,59.71
18,2019-11-04 12:00:00,15.05,38.95,6.8,14.6,0.16,5.13,0.45,155.37,992.95,16.52,75.75
