,Vreme,SO2 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C],Rh [%]
0,2019-11-03 18:00:00,8.74,26.71,46.8,0.74,13.1,2.28,134.6,989.8,17.6,73.16
1,2019-11-03 19:00:00,7.64,24.63,45.11,0.72,13.35,2.46,140.66,989.32,17.01,74.87
2,2019-11-03 20:00:00,7.85,29.22,52.83,0.77,15.45,2.18,138.18,989.25,16.76,74.71
3,2019-11-03 21:00:00,7.3,14.17,25.63,0.54,7.56,2.93,138.86,988.87,17.43,71.84
4,2019-11-03 22:00:00,6.7,9.03,17.02,0.39,5.21,3.2,141.52,988.49,17.79,69.46
5,2019-11-03 23:00:00,6.4,7.21,13.9,0.33,4.38,3.8,144.4,987.97,18.16,67.51
6,2019-11-04 00:00:00,6.08,4.51,9.61,0.3,3.33,3.88,141.25,987.59,18.21,66.42
7,2019-11-04 01:00:00,6.11,4.36,9.17,0.27,3.16,3.5,134.92,987.1,17.83,68.02
8,2019-11-04 02:00:00,6.46,4.04,8.64,0.25,3.0,3.18,144.35,987.08,17.19,70.96
9,2019-11-04 03:00:00,6.69,4.21,8.91,0.24,3.05,3.06,135.85,986.88,16.99,72.4
10,2019-11-04 04:00:00,6.76,4.56,42.25,,24.77,3.58,139.89,986.44,17.18,74.23
11,2019-11-04 05:00:00,,5.09,10.71,0.21,3.62,4.13,148.75,986.18,17.6,75.38
12,2019-11-04 06:00:00,6.26,9.99,19.26,0.23,6.0,3.05,148.03,986.3,16.81,79.54
13,2019-11-04 07:00:00,6.83,12.35,24.58,0.25,7.96,4.08,153.22,986.1,17.43,77.25
14,2019-11-04 08:00:00,7.09,12.76,24.18,0.25,7.48,4.64,156.57,986.12,18.64,71.59
15,2019-11-04 09:00:00,6.94,14.39,26.37,0.27,7.75,3.6,154.33,986.4,19.03,70.28
16,2019-11-04 10:00:00,6.58,14.89,26.69,0.26,7.77,3.52,172.9,986.45,20.29,65.37
17,2019-11-04 11:00:00,6.17,13.69,22.67,0.27,5.87,1.79,223.0,987.16,19.84,64.44
18,2019-11-04 12:00:00,5.5,14.68,25.04,0.25,6.68,1.58,316.57,989.04,14.2,91.51
19,2019-11-04 13:00:00,7.94,25.5,53.67,0.37,18.29,0.11,187.11,988.96,15.78,94.57
20,2019-11-04 14:00:00,9.11,18.69,29.07,0.28,6.91,1.69,319.07,989.32,17.69,80.11
21,2019-11-04 15:00:00,7.71,29.14,40.85,0.36,7.52,1.11,332.9,989.67,17.87,74.58
22,2019-11-04 16:00:00,7.07,34.66,52.28,0.47,11.6,1.36,324.67,990.76,16.57,82.12
23,2019-11-04 17:00:00,6.13,21.73,35.59,0.45,9.14,1.01,312.96,992.0,15.28,85.44
24,2019-11-04 18:00:00,6.63,50.38,242.32,1.46,124.25,0.22,190.55,992.9,14.12,88.33
25,2019-11-04 19:00:00,6.55,44.04,250.92,2.1,135.55,0.52,172.13,993.91,12.82,92.55
26,2019-11-04 20:00:00,5.55,31.55,123.22,1.38,60.54,0.74,176.8,994.6,12.22,95.5
27,2019-11-04 21:00:00,5.21,16.36,51.18,0.77,22.75,1.25,171.71,994.78,11.27,96.67
28,2019-11-04 22:00:00,4.97,23.13,84.23,0.95,39.55,0.41,151.47,994.91,10.92,90.25
29,2019-11-04 23:00:00,4.82,33.31,124.43,1.14,59.14,0.39,119.51,995.09,10.79,83.94
30,2019-11-05 00:00:00,4.98,19.48,54.86,0.91,23.18,0.91,166.62,995.33,10.69,81.11
31,2019-11-05 01:00:00,5.26,11.55,28.76,0.66,11.27,0.65,119.72,995.33,10.4,78.91
32,2019-11-05 02:00:00,5.04,8.19,19.92,0.52,7.65,0.83,108.19,995.27,10.29,77.03
33,2019-11-05 03:00:00,4.95,6.5,15.88,0.44,6.09,0.94,111.58,995.48,8.85,81.98
34,2019-11-05 04:00:00,4.87,10.73,21.72,0.42,7.19,0.95,132.67,995.35,8.75,82.49
35,2019-11-05 05:00:00,4.87,22.27,49.99,0.48,18.07,0.87,128.75,995.47,8.53,83.64
36,2019-11-05 06:00:00,5.05,45.67,148.97,0.65,67.18,1.03,128.33,995.68,8.52,85.79
37,2019-11-05 07:00:00,7.11,56.05,178.27,0.86,80.64,1.09,112.63,995.74,11.21,78.38
38,2019-11-05 08:00:00,7.22,36.17,82.32,0.65,30.33,1.91,158.38,995.53,15.51,68.87
39,2019-11-05 09:00:00,5.98,15.14,28.15,0.39,8.5,3.78,184.57,994.61,20.43,51.7
40,2019-11-05 10:00:00,6.2,12.33,23.63,0.35,7.37,4.72,181.5,993.75,21.79,46.63
41,2019-11-05 11:00:00,5.99,10.01,19.23,0.31,6.01,5.45,188.87,992.93,22.72,43.97
42,2019-11-05 12:00:00,6.16,18.24,32.43,0.29,9.29,3.88,191.7,992.32,23.67,41.68
43,2019-11-05 13:00:00,5.6,14.11,24.3,0.26,6.59,4.12,192.84,991.62,24.25,40.42
44,2019-11-05 14:00:00,5.81,19.52,31.64,0.3,7.81,3.05,192.82,991.12,24.05,41.37
45,2019-11-05 15:00:00,5.6,27.3,42.02,0.33,9.6,2.13,178.35,990.8,23.34,43.21
46,2019-11-05 16:00:00,6.08,40.02,65.9,0.41,16.8,1.65,168.65,990.57,22.35,46.32
47,2019-11-05 17:00:00,6.72,44.34,78.38,0.49,22.34,1.87,157.19,990.52,21.08,50.33
48,2019-11-05 18:00:00,6.28,28.1,45.55,0.4,11.42,2.57,166.73,990.36,20.79,51.33
49,2019-11-05 19:00:00,7.11,35.07,61.11,0.48,16.54,2.21,136.81,989.68,19.11,56.9
50,2019-11-05 20:00:00,6.48,31.43,53.47,0.49,14.45,2.07,135.87,989.32,17.68,62.32
51,2019-11-05 21:00:00,6.86,25.18,41.35,0.43,11.02,2.18,142.3,989.21,17.9,62.25
52,2019-11-05 22:00:00,6.8,24.4,38.6,0.41,9.25,1.7,136.48,988.95,17.38,64.13
53,2019-11-05 23:00:00,7.36,28.0,43.82,0.4,10.28,0.77,112.98,989.18,16.12,68.57
54,2019-11-06 00:00:00,7.52,33.91,54.53,0.46,13.53,0.65,131.02,989.23,15.36,71.84
55,2019-11-06 01:00:00,7.01,14.37,24.15,0.35,6.49,1.54,138.21,989.3,16.38,69.71
56,2019-11-06 02:00:00,6.84,6.17,12.2,0.26,3.96,0.91,325.19,989.63,17.35,67.74
57,2019-11-06 03:00:00,6.26,3.51,9.04,0.22,3.63,3.05,323.07,991.49,15.16,81.98
58,2019-11-06 04:00:00,5.48,2.18,7.8,0.21,3.67,2.18,321.39,993.33,13.62,93.25
59,2019-11-06 05:00:00,4.74,4.35,13.13,0.27,5.69,0.68,359.45,993.9,12.58,99.34
60,2019-11-06 06:00:00,5.0,12.58,35.21,0.32,14.6,0.55,77.82,994.65,12.16,100.0
61,2019-11-06 07:00:00,4.89,23.93,68.37,0.41,29.07,1.27,136.55,995.88,12.17,100.0
62,2019-11-06 08:00:00,4.72,18.08,55.23,0.42,24.31,1.25,156.42,996.78,11.88,100.0
63,2019-11-06 09:00:00,4.62,14.7,46.83,0.47,21.01,1.81,161.44,996.97,12.23,100.0
64,2019-11-06 10:00:00,4.8,13.59,41.58,0.5,18.23,1.87,152.56,997.3,12.55,100.0
65,2019-11-06 11:00:00,4.75,13.22,43.12,0.46,19.46,2.3,161.13,997.32,12.64,100.0
66,2019-11-06 12:00:00,4.98,12.75,41.17,0.45,18.5,1.83,153.84,997.05,13.08,100.0
67,2019-11-06 13:00:00,5.33,15.17,42.81,0.49,18.04,2.57,142.29,996.94,13.34,99.78
68,2019-11-06 14:00:00,5.58,17.93,44.54,0.52,17.37,2.52,139.58,997.14,13.27,97.01
69,2019-11-06 15:00:00,5.52,21.18,51.23,0.54,19.62,2.18,125.4,997.02,12.76,96.64
70,2019-11-06 16:00:00,5.74,23.38,57.68,0.74,22.31,2.19,132.12,996.74,12.26,97.42
71,2019-11-06 17:00:00,5.94,24.25,58.26,0.58,22.22,1.76,107.92,996.48,11.99,96.67
72,2019-11-06 18:00:00,5.69,24.72,62.32,0.69,24.5,1.79,118.06,996.28,11.96,96.01
73,2019-11-06 19:00:00,5.34,26.83,73.01,0.83,30.2,0.95,127.54,995.99,11.7,97.01
74,2019-11-06 20:00:00,4.81,18.14,48.89,0.68,20.19,1.29,134.24,995.48,11.6,98.83
75,2019-11-06 21:00:00,5.6,15.56,46.67,0.75,20.22,0.21,60.34,995.69,11.84,99.28
76,2019-11-06 22:00:00,5.79,25.18,85.2,0.99,39.23,0.83,114.64,995.32,12.01,96.96
77,2019-11-06 23:00:00,5.47,18.82,52.82,0.97,22.17,0.33,124.69,995.69,11.96,96.12
78,2019-11-07 00:00:00,5.23,18.78,51.74,1.17,21.48,0.15,46.05,995.73,11.92,95.49
79,2019-11-07 01:00:00,5.3,10.49,29.51,0.77,12.5,0.76,315.38,995.9,12.04,92.7
80,2019-11-07 02:00:00,5.18,9.92,30.68,0.75,13.46,0.2,188.43,995.95,11.44,93.73
81,2019-11-07 03:00:00,5.17,10.1,29.0,0.79,12.4,0.81,197.58,996.02,11.06,96.14
82,2019-11-07 04:00:00,4.32,6.88,20.46,0.64,8.87,0.5,316.93,996.19,11.13,96.5
83,2019-11-07 05:00:00,4.29,9.33,63.16,,35.04,0.51,333.49,996.46,11.17,97.22
84,2019-11-07 06:00:00,,14.96,66.79,0.66,33.95,0.45,305.47,996.71,11.39,97.49
85,2019-11-07 07:00:00,5.07,18.87,100.66,0.8,53.2,0.6,210.42,997.86,11.24,98.73
86,2019-11-07 08:00:00,5.43,17.23,89.38,0.79,47.25,0.61,225.42,998.72,11.22,99.86
87,2019-11-07 09:00:00,5.23,15.32,60.83,0.69,29.77,1.21,170.23,999.0,11.63,100.0
88,2019-11-07 10:00:00,5.94,14.06,50.09,0.55,23.53,1.7,160.06,998.9,12.32,100.0
89,2019-11-07 11:00:00,10.12,17.42,47.31,0.51,19.43,1.1,152.21,998.49,14.03,96.57
90,2019-11-07 12:00:00,15.87,17.97,35.65,0.46,11.56,1.28,139.91,998.29,15.51,86.68
91,2019-11-07 13:00:00,15.48,23.92,44.17,0.45,13.24,1.78,153.94,998.32,16.31,77.87
92,2019-11-07 14:00:00,12.09,32.41,58.78,0.5,17.13,1.2,162.06,998.43,16.66,74.11
93,2019-11-07 15:00:00,13.03,47.92,106.6,0.68,38.32,0.76,123.06,998.54,16.12,76.47
94,2019-11-07 16:00:00,10.1,64.22,171.06,0.95,70.16,1.07,115.32,998.91,14.63,82.6
95,2019-11-07 17:00:00,7.89,55.16,142.25,1.24,56.68,0.94,121.65,999.51,13.41,86.94
96,2019-11-07 18:00:00,7.06,55.49,225.8,1.45,111.39,0.63,108.59,999.65,12.81,87.97
97,2019-11-07 19:00:00,7.18,52.71,251.57,1.77,129.94,0.58,92.82,999.75,11.98,90.67
98,2019-11-07 20:00:00,5.87,32.76,114.0,0.92,53.3,0.96,69.17,999.61,11.28,94.14
99,2019-11-07 21:00:00,5.77,30.05,119.36,1.05,58.71,0.42,76.8,999.41,11.13,95.13
100,2019-11-07 22:00:00,5.84,27.46,129.27,1.02,66.45,0.42,78.61,999.57,10.84,95.65
101,2019-11-07 23:00:00,5.64,22.87,83.78,0.85,39.78,0.4,95.47,999.61,10.17,96.93
102,2019-11-08 00:00:00,5.45,20.52,79.89,0.81,38.76,0.36,67.67,999.8,9.57,98.52
103,2019-11-08 01:00:00,5.17,19.62,61.83,0.74,27.68,0.47,61.47,999.47,9.43,99.56
104,2019-11-08 02:00:00,5.33,14.08,38.83,0.64,16.19,0.42,66.5,998.93,9.38,100.0
105,2019-11-08 03:00:00,5.18,8.9,31.45,0.57,14.7,0.37,101.44,998.4,9.62,100.0
106,2019-11-08 04:00:00,5.38,8.47,30.43,0.54,14.34,0.58,101.75,998.32,10.08,100.0
107,2019-11-08 05:00:00,5.41,8.04,34.61,0.52,17.27,0.41,118.34,998.08,10.11,100.0
108,2019-11-08 06:00:00,5.24,11.75,53.7,0.61,27.3,0.39,304.39,998.04,10.28,100.0
109,2019-11-08 07:00:00,5.55,14.73,99.26,0.69,54.38,0.43,2.12,998.28,10.34,100.0
110,2019-11-08 08:00:00,5.57,15.85,104.59,0.68,58.17,0.83,72.31,998.28,10.56,100.0
111,2019-11-08 09:00:00,5.45,11.86,70.34,0.61,38.38,0.9,87.09,997.92,11.06,100.0
112,2019-11-08 10:00:00,5.79,8.73,58.66,0.59,32.54,0.46,201.18,998.0,11.87,100.0
113,2019-11-08 11:00:00,6.17,10.49,56.64,0.62,30.24,0.37,184.03,997.55,12.19,100.0
114,2019-11-08 12:00:00,7.52,13.64,56.97,0.59,28.25,0.75,159.66,997.12,12.83,100.0
115,2019-11-08 13:00:00,10.34,19.74,45.57,0.52,17.03,0.06,87.55,996.63,15.0,98.31
116,2019-11-08 14:00:00,9.75,30.62,70.93,0.66,26.62,0.95,65.56,996.31,15.2,92.2
117,2019-11-08 15:00:00,10.23,28.28,63.49,0.59,23.03,0.43,37.91,996.2,15.58,89.79
118,2019-11-08 16:00:00,7.17,29.44,63.72,0.62,22.33,0.47,347.43,996.58,14.16,93.58
119,2019-11-08 17:00:00,6.38,33.0,153.73,1.35,78.36,0.34,281.82,996.94,13.13,97.1
120,2019-11-08 18:00:00,6.58,31.69,256.48,2.27,144.7,0.23,332.37,997.17,12.09,98.8
121,2019-11-08 19:00:00,6.84,30.27,278.43,3.0,162.94,0.45,280.84,997.62,11.28,99.73
122,2019-11-08 20:00:00,5.97,18.01,132.88,1.77,75.2,0.75,210.04,998.37,9.64,100.0
123,2019-11-08 21:00:00,5.58,15.02,95.27,1.7,52.35,0.42,160.03,999.01,8.94,100.0
124,2019-11-08 22:00:00,5.67,14.39,155.77,2.47,91.69,0.21,100.72,999.34,8.65,100.0
125,2019-11-08 23:00:00,5.47,18.19,129.02,1.77,72.85,0.64,99.72,999.57,8.87,100.0
126,2019-11-09 00:00:00,5.0,16.13,61.73,1.16,29.83,1.13,120.37,999.63,8.6,100.0
127,2019-11-09 01:00:00,5.01,10.11,36.93,0.95,17.54,1.33,114.8,999.43,9.13,94.48
128,2019-11-09 02:00:00,5.21,6.32,28.53,0.76,14.34,2.38,144.36,999.26,11.5,79.8
129,2019-11-09 03:00:00,5.09,4.29,17.31,0.62,8.51,2.94,140.99,999.16,12.37,72.26
130,2019-11-09 04:00:00,5.82,5.52,15.07,0.52,6.25,2.81,139.75,999.12,12.23,74.79
131,2019-11-09 05:00:00,5.86,7.45,16.83,0.49,6.11,2.62,148.82,999.13,12.27,77.28
132,2019-11-09 06:00:00,6.06,10.6,22.0,0.46,7.4,3.16,149.23,999.21,12.77,76.17
133,2019-11-09 07:00:00,6.49,12.56,23.98,0.46,7.47,3.14,148.99,999.56,13.22,73.42
134,2019-11-09 08:00:00,6.19,14.06,26.1,0.44,7.84,3.29,149.03,999.7,13.8,70.9
135,2019-11-09 09:00:00,6.17,16.24,29.25,0.42,8.5,3.31,157.54,999.87,14.45,69.42
136,2019-11-09 10:00:00,6.01,20.13,35.77,0.48,10.12,3.19,153.7,999.96,15.42,67.35
137,2019-11-09 11:00:00,6.92,18.93,32.75,0.55,9.06,3.02,150.23,999.59,17.38,62.54
138,2019-11-09 12:00:00,6.13,19.05,32.69,0.5,8.87,3.13,141.25,999.02,18.65,59.09
139,2019-11-09 13:00:00,6.3,23.37,38.8,0.49,9.98,2.49,122.3,998.6,19.2,58.01
140,2019-11-09 14:00:00,6.55,30.93,49.59,0.47,12.1,1.98,115.06,998.24,19.71,56.8
141,2019-11-09 15:00:00,5.78,44.25,82.75,0.6,24.96,1.09,112.65,998.22,19.0,59.35
142,2019-11-09 16:00:00,8.61,41.33,71.13,0.66,19.15,0.91,304.73,998.53,17.97,63.93
143,2019-11-09 17:00:00,7.27,16.33,28.52,0.44,7.96,2.53,328.09,999.74,15.34,78.34
144,2019-11-09 18:00:00,6.78,19.46,34.51,0.49,9.81,2.0,322.69,1000.53,13.78,85.85
145,2019-11-09 19:00:00,6.03,19.97,35.67,0.54,10.13,1.32,316.68,1000.69,13.2,88.54
146,2019-11-09 20:00:00,5.35,25.12,52.57,0.7,17.8,0.42,289.72,1000.54,12.66,91.79
147,2019-11-09 21:00:00,4.95,28.27,73.16,1.03,29.48,0.46,250.96,1000.1,12.14,94.32
148,2019-11-09 22:00:00,4.42,11.71,28.98,0.56,11.33,0.48,277.4,999.77,11.75,96.7
149,2019-11-09 23:00:00,5.13,9.99,29.71,0.6,12.85,0.56,285.42,999.77,11.35,98.99
150,2019-11-10 00:00:00,5.01,7.9,22.52,0.51,9.55,0.82,329.53,998.87,10.89,99.99
151,2019-11-10 01:00:00,4.86,6.62,19.35,0.5,8.31,0.71,309.3,997.98,10.64,100.0
152,2019-11-10 02:00:00,4.75,6.72,20.26,0.51,8.83,0.59,315.95,997.2,10.43,100.0
153,2019-11-10 03:00:00,4.51,5.75,17.54,0.47,7.7,0.58,319.88,996.58,10.3,100.0
154,2019-11-10 04:00:00,4.97,7.36,22.6,0.5,9.93,0.22,162.32,996.22,10.44,100.0
155,2019-11-10 05:00:00,5.07,6.28,20.93,0.44,9.55,0.47,157.09,996.07,10.39,100.0
156,2019-11-10 06:00:00,4.69,7.86,64.38,,36.64,0.45,170.44,996.0,10.41,100.0
157,2019-11-10 07:00:00,,8.05,31.91,0.55,15.58,0.8,137.31,996.05,10.5,100.0
158,2019-11-10 08:00:00,4.58,6.45,27.38,0.48,13.68,1.44,198.34,996.44,10.68,100.0
159,2019-11-10 09:00:00,5.37,5.93,24.15,0.43,11.89,0.84,212.17,997.05,11.47,100.0
160,2019-11-10 10:00:00,5.52,5.51,19.98,0.38,9.45,0.83,312.48,997.73,11.91,100.0
161,2019-11-10 11:00:00,8.12,6.12,14.63,0.37,5.58,1.46,329.52,997.95,13.14,97.76
162,2019-11-10 12:00:00,7.97,7.73,15.82,0.39,5.27,1.6,334.01,998.09,14.19,90.27
163,2019-11-10 13:00:00,13.2,8.77,16.56,0.34,5.06,2.2,331.82,998.48,13.85,87.29
164,2019-11-10 14:00:00,8.9,9.85,17.73,0.36,5.16,2.72,333.7,999.41,12.94,88.1
165,2019-11-10 15:00:00,5.86,8.45,16.47,0.37,5.24,3.02,325.91,1000.38,11.25,91.26
166,2019-11-10 16:00:00,5.32,10.88,20.23,0.42,6.09,1.83,325.97,1001.32,10.18,92.91
167,2019-11-10 17:00:00,4.92,11.46,24.4,0.49,8.44,1.89,324.01,1002.39,9.15,97.54
168,2019-11-10 18:00:00,4.51,8.36,18.7,0.4,6.77,2.36,318.54,1003.8,8.87,98.62
169,2019-11-10 19:00:00,4.16,7.32,17.49,0.4,6.63,2.48,324.31,1005.01,8.76,98.48
170,2019-11-10 20:00:00,3.95,7.41,17.65,0.4,6.66,1.92,323.29,1005.92,8.56,98.25
171,2019-11-10 21:00:00,4.4,6.62,14.91,0.38,5.42,1.69,316.95,1006.59,8.47,97.1
172,2019-11-10 22:00:00,4.34,6.8,15.34,0.39,5.56,0.91,320.27,1007.13,8.4,95.6
