,Vreme,SO2 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C],Rh [%]
0,2019-11-03 18:00:00,5.17,78.16,152.93,0.91,49.35,0.82,98.52,955.75,18.25,60.62
1,2019-11-03 19:00:00,6.72,81.2,214.2,1.44,86.27,0.38,95.37,955.31,16.29,68.53
2,2019-11-03 20:00:00,8.69,75.47,271.94,1.69,128.3,0.23,122.36,955.16,14.33,77.45
3,2019-11-03 21:00:00,8.88,66.35,261.46,1.9,127.36,0.26,108.01,954.99,13.83,79.77
4,2019-11-03 22:00:00,7.14,62.84,203.24,1.7,92.17,0.27,99.47,954.3,13.42,81.42
5,2019-11-03 23:00:00,7.47,59.04,207.81,1.8,97.09,0.15,122.19,954.08,13.06,82.98
6,2019-11-04 00:00:00,7.49,54.93,203.45,1.78,97.12,0.02,148.22,953.85,13.44,82.13
7,2019-11-04 01:00:00,7.23,53.82,195.3,1.6,92.45,0.08,227.72,953.26,13.5,83.42
8,2019-11-04 02:00:00,5.07,54.67,126.35,1.13,46.89,0.22,269.0,953.08,13.52,85.38
9,2019-11-04 03:00:00,4.63,54.26,114.53,0.88,39.31,0.01,51.17,952.87,13.62,88.39
10,2019-11-04 04:00:00,5.16,,,0.88,,0.12,285.55,952.52,13.32,90.85
11,2019-11-04 05:00:00,,56.49,267.93,1.01,137.5,0.07,227.1,952.09,12.86,91.96
12,2019-11-04 06:00:00,10.19,59.56,329.67,,177.07,0.11,279.18,952.25,13.0,92.36
13,2019-11-04 07:00:00,14.14,61.48,427.29,1.97,239.98,0.18,251.67,952.39,13.36,92.36
14,2019-11-04 08:00:00,10.58,70.79,331.32,1.89,169.91,0.12,162.01,952.65,14.38,90.97
15,2019-11-04 09:00:00,9.37,54.24,266.47,1.48,139.1,0.63,259.36,952.51,15.67,87.57
16,2019-11-04 10:00:00,7.89,63.01,224.46,1.19,105.01,0.17,42.61,952.78,18.04,74.64
17,2019-11-04 11:00:00,6.3,92.12,212.12,0.66,75.62,0.16,55.55,952.8,19.87,55.02
18,2019-11-04 12:00:00,5.23,80.85,156.71,0.66,48.56,0.43,115.65,952.85,20.67,47.69
19,2019-11-04 13:00:00,5.07,76.05,146.85,0.7,46.89,0.29,245.78,952.93,21.1,44.05
20,2019-11-04 14:00:00,5.15,78.11,150.75,0.71,46.82,3.03,276.83,954.58,18.61,52.93
21,2019-11-04 15:00:00,5.69,84.32,181.44,0.89,64.25,0.91,279.89,955.09,17.93,50.02
22,2019-11-04 16:00:00,7.3,87.73,237.83,1.1,97.91,0.3,229.96,955.85,16.66,53.54
23,2019-11-04 17:00:00,7.53,87.35,251.89,1.3,106.42,0.33,126.5,956.88,15.13,58.79
24,2019-11-04 18:00:00,8.68,85.39,274.18,1.92,123.26,0.07,286.34,957.76,13.73,63.56
25,2019-11-04 19:00:00,4.67,70.86,138.66,0.7,45.41,1.34,282.93,958.69,15.8,49.01
26,2019-11-04 20:00:00,6.54,,,1.26,,0.33,252.5,959.77,13.12,59.64
27,2019-11-04 21:00:00,5.88,76.28,184.66,1.42,71.1,0.32,288.4,960.13,11.23,67.98
28,2019-11-04 22:00:00,5.9,74.3,195.13,1.2,79.56,0.29,255.15,960.03,10.54,70.81
29,2019-11-04 23:00:00,5.13,66.04,151.03,0.96,55.42,0.34,268.53,960.53,9.84,73.57
30,2019-11-05 00:00:00,4.82,63.28,137.53,0.97,48.68,0.26,254.97,961.3,9.01,77.28
31,2019-11-05 01:00:00,4.14,58.93,117.02,0.84,37.9,0.11,143.93,961.52,8.44,79.12
32,2019-11-05 02:00:00,3.96,56.31,108.05,0.84,33.75,0.15,161.07,961.54,7.92,81.53
33,2019-11-05 03:00:00,3.86,53.58,100.03,0.81,30.33,0.33,260.81,961.74,7.35,83.11
34,2019-11-05 04:00:00,3.87,51.98,103.23,0.61,33.43,0.3,258.02,961.69,6.86,83.55
35,2019-11-05 05:00:00,6.25,57.17,188.54,0.73,85.91,0.15,254.13,961.67,6.48,84.4
36,2019-11-05 06:00:00,7.37,59.54,230.76,0.85,109.32,0.35,275.38,961.96,6.36,84.61
37,2019-11-05 07:00:00,10.46,70.83,336.02,1.54,173.56,0.11,148.4,962.15,8.13,79.86
38,2019-11-05 08:00:00,8.73,91.18,307.31,1.29,139.84,0.49,251.77,961.99,9.75,72.87
39,2019-11-05 09:00:00,10.13,75.8,327.42,1.43,166.14,0.17,224.81,961.36,11.64,67.21
40,2019-11-05 10:00:00,8.36,80.18,255.64,1.32,113.88,0.39,135.77,960.28,15.22,58.63
41,2019-11-05 11:00:00,5.75,68.95,160.43,0.7,61.56,1.16,90.95,958.93,21.0,42.72
