,CO [mg.m-3],Mesto,NO [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],O3 [ug.m-3],P [mb],PM1 [ug.m-3],PM10 [ug.m-3],PM2.5 [ug.m-3],Rh [%],SO2 [ug.m-3],Unnamed: 0,V [m/s],Vreme,dd [°],t [°C],Mesto_Beograd,Mesto_Kragujevac,Mesto_Nis,Mesto_Novi Sad,Mesto_Sabac,Mesto_Uzice
0,0.22,Novi Sad,2.84,3.97,8.29,44.84,994.74,,,,61.57,20.17,,1.44,2019-11-03 18:00:00,100.27,19.05,0,0,0,1,0,0
1,0.23,Novi Sad,2.71,5.39,9.62,45.51,994.16,,,,63.14,20.75,,1.44,2019-11-03 19:00:00,127.3,18.72,0,0,0,1,0,0
2,0.18,Novi Sad,2.61,4.45,8.4,54.52,994.08,,,,58.87,30.67,,2.25,2019-11-03 20:00:00,137.82,19.75,0,0,0,1,0,0
3,0.2,Novi Sad,2.65,2.88,6.97,48.0,994.09,,,,61.67,23.23,,1.52,2019-11-03 21:00:00,136.23,18.51,0,0,0,1,0,0
4,0.21,Novi Sad,1.67,3.14,5.7,45.85,993.56,,,,64.44,18.36,,1.64,2019-11-03 22:00:00,137.55,17.91,0,0,0,1,0,0
5,0.19,Novi Sad,1.68,1.43,4.09,51.88,993.16,,,,63.0,17.74,,2.1,2019-11-03 23:00:00,132.89,18.4,0,0,0,1,0,0
6,0.17,Novi Sad,1.28,0.84,2.86,55.89,992.71,,,,60.22,17.63,,2.56,2019-11-04 00:00:00,133.75,18.94,0,0,0,1,0,0
7,0.16,Novi Sad,1.95,0.5,2.77,57.49,992.19,,,,60.18,16.34,,2.48,2019-11-04 01:00:00,141.95,18.87,0,0,0,1,0,0
8,0.16,Novi Sad,2.71,0.5,4.21,55.23,992.04,,,,61.93,15.87,,2.15,2019-11-04 02:00:00,135.33,18.42,0,0,0,1,0,0
9,0.15,Novi Sad,2.69,0.61,4.7,55.42,991.4,,,,61.66,17.74,,3.2,2019-11-04 03:00:00,135.98,18.71,0,0,0,1,0,0
10,0.14,Novi Sad,1.98,1.5,4.51,54.25,991.27,,,,61.44,22.15,,3.28,2019-11-04 04:00:00,131.9,18.92,0,0,0,1,0,0
11,0.14,Novi Sad,1.98,1.5,4.51,54.0,990.96,,,,62.48,21.28,,2.47,2019-11-04 05:00:00,133.55,18.75,0,0,0,1,0,0
12,0.14,Novi Sad,3.06,1.5,6.11,51.29,990.82,,,,64.98,20.37,,2.73,2019-11-04 06:00:00,141.45,18.74,0,0,0,1,0,0
13,0.14,Novi Sad,2.36,4.71,8.31,49.7,991.01,,,,64.3,27.44,,2.87,2019-11-04 07:00:00,136.31,19.15,0,0,0,1,0,0
14,0.15,Novi Sad,3.11,4.17,8.55,52.32,991.07,,,,62.78,27.98,,3.07,2019-11-04 08:00:00,145.05,19.62,0,0,0,1,0,0
15,0.15,Novi Sad,3.03,3.85,8.53,52.32,991.0,,,,62.4,27.98,,3.08,2019-11-04 09:00:00,143.17,19.82,0,0,0,1,0,0
16,0.16,Novi Sad,2.73,4.21,8.48,52.12,991.09,,,,61.83,28.33,,2.11,2019-11-04 10:00:00,140.73,20.34,0,0,0,1,0,0
17,0.15,Novi Sad,2.07,2.31,5.48,55.7,991.31,,,,59.71,21.47,,1.93,2019-11-04 11:00:00,141.26,20.75,0,0,0,1,0,0
18,0.16,Novi Sad,5.13,6.8,14.6,38.95,992.95,,,,75.75,15.05,,0.45,2019-11-04 12:00:00,155.37,16.52,0,0,0,1,0,0
19,0.17,Novi Sad,3.16,5.09,10.06,50.27,993.28,,,,76.42,16.78,,0.52,2019-11-04 13:00:00,165.68,17.39,0,0,0,1,0,0
20,0.25,Novi Sad,3.31,9.76,14.77,52.95,993.86,,,,62.88,18.76,,0.42,2019-11-04 14:00:00,35.54,19.27,0,0,0,1,0,0
21,0.24,Novi Sad,3.93,13.17,19.33,41.33,994.62,,,,64.7,17.09,,0.25,2019-11-04 15:00:00,123.83,18.82,0,0,0,1,0,0
22,0.23,Novi Sad,3.07,13.28,17.88,39.5,995.4,,,,66.15,14.84,,0.16,2019-11-04 16:00:00,143.22,18.16,0,0,0,1,0,0
23,0.21,Novi Sad,3.25,7.98,12.86,45.31,996.47,,,,66.96,14.26,,0.52,2019-11-04 17:00:00,161.81,17.2,0,0,0,1,0,0
24,0.36,Novi Sad,5.33,20.99,29.48,20.33,997.22,,,,68.87,13.31,,0.05,2019-11-04 18:00:00,332.24,16.58,0,0,0,1,0,0
25,0.59,Novi Sad,24.23,30.57,67.63,1.83,997.96,,,,73.18,12.97,,0.15,2019-11-04 19:00:00,78.69,15.8,0,0,0,1,0,0
26,0.63,Novi Sad,14.58,25.36,47.17,1.52,998.5,,,,78.01,12.01,,0.13,2019-11-04 20:00:00,84.19,14.56,0,0,0,1,0,0
27,0.62,Novi Sad,17.0,20.55,46.39,10.9,998.66,,,,78.94,11.95,,0.33,2019-11-04 21:00:00,131.63,14.67,0,0,0,1,0,0
28,0.17,Novi Sad,0.5,2.03,2.48,43.27,999.04,,,,73.03,11.4,,1.09,2019-11-04 22:00:00,156.9,15.76,0,0,0,1,0,0
29,0.15,Novi Sad,0.78,1.78,3.05,56.33,999.03,,,,65.2,13.13,,1.14,2019-11-04 23:00:00,165.91,16.12,0,0,0,1,0,0
30,0.15,Novi Sad,4.35,2.45,9.18,62.46,999.21,,,,56.16,13.59,,1.17,2019-11-05 00:00:00,164.71,16.51,0,0,0,1,0,0
31,0.14,Novi Sad,4.35,2.45,9.18,62.48,999.37,,,,53.19,14.6,,1.48,2019-11-05 01:00:00,166.05,16.59,0,0,0,1,0,0
32,0.11,Novi Sad,2.55,2.52,6.45,67.02,999.21,,,,49.4,13.48,,0.27,2019-11-05 02:00:00,174.59,16.96,0,0,0,1,0,0
33,0.1,Novi Sad,3.78,1.59,7.38,71.93,999.21,,,,46.23,12.11,,1.59,2019-11-05 03:00:00,155.33,17.75,0,0,0,1,0,0
34,0.11,Novi Sad,3.88,1.73,7.64,71.8,999.1,,,,45.76,11.25,,1.06,2019-11-05 04:00:00,162.84,17.85,0,0,0,1,0,0
35,0.1,Novi Sad,3.29,3.16,8.24,70.59,999.21,,,,45.66,10.82,,0.76,2019-11-05 05:00:00,176.24,17.98,0,0,0,1,0,0
36,0.11,Novi Sad,4.04,3.26,9.5,69.16,999.39,,,,45.06,10.6,,1.14,2019-11-05 06:00:00,145.4,18.06,0,0,0,1,0,0
37,0.13,Novi Sad,4.1,5.52,11.81,66.34,999.6,,,,45.67,12.52,,1.82,2019-11-05 07:00:00,137.35,18.41,0,0,0,1,0,0
38,0.12,Novi Sad,3.65,5.32,10.81,65.61,999.58,,,,43.77,13.38,,2.06,2019-11-05 08:00:00,139.57,19.86,0,0,0,1,0,0
39,0.12,Novi Sad,3.35,5.51,10.68,67.98,999.13,,,,44.9,12.34,,3.1,2019-11-05 09:00:00,148.58,20.15,0,0,0,1,0,0
40,0.13,Novi Sad,4.01,5.22,11.46,66.26,998.37,,,,45.58,12.58,,2.97,2019-11-05 10:00:00,146.24,21.36,0,0,0,1,0,0
41,0.13,Novi Sad,5.41,3.69,11.93,73.94,997.32,,,,41.06,11.83,,3.42,2019-11-05 11:00:00,151.15,23.2,0,0,0,1,0,0
42,0.13,Novi Sad,4.08,3.44,9.63,76.56,996.55,,,,38.28,11.2,,3.71,2019-11-05 12:00:00,152.07,24.03,0,0,0,1,0,0
43,0.14,Novi Sad,3.99,4.48,10.57,75.12,995.94,,,,37.43,10.72,,2.31,2019-11-05 13:00:00,156.12,24.62,0,0,0,1,0,0
44,0.14,Novi Sad,3.58,3.82,9.29,76.5,995.7,,,,36.34,10.85,,2.18,2019-11-05 14:00:00,150.29,24.73,0,0,0,1,0,0
45,0.18,Novi Sad,3.37,6.17,11.35,72.18,995.66,,,,37.93,11.03,,1.29,2019-11-05 15:00:00,130.82,24.31,0,0,0,1,0,0
46,0.21,Novi Sad,3.7,8.28,13.94,66.13,995.25,,,,41.35,15.29,,1.37,2019-11-05 16:00:00,135.39,23.04,0,0,0,1,0,0
47,0.23,Novi Sad,3.29,7.69,12.72,62.98,995.03,,,,41.93,14.07,,2.01,2019-11-05 17:00:00,134.23,22.89,0,0,0,1,0,0
48,0.19,Novi Sad,4.11,6.09,12.29,61.4,994.64,,,,44.99,13.57,,2.17,2019-11-05 18:00:00,143.43,22.17,0,0,0,1,0,0
49,0.15,Novi Sad,4.43,4.92,11.67,64.25,994.25,,,,46.7,15.09,,2.47,2019-11-05 19:00:00,137.85,21.66,0,0,0,1,0,0
50,0.15,Novi Sad,4.82,4.28,11.69,62.44,994.04,,,,48.54,17.93,,2.91,2019-11-05 20:00:00,139.48,21.07,0,0,0,1,0,0
51,0.16,Novi Sad,4.59,6.98,14.05,59.89,993.78,,,,50.38,26.88,,2.34,2019-11-05 21:00:00,135.86,20.5,0,0,0,1,0,0
52,0.14,Novi Sad,4.09,6.42,12.65,61.83,993.56,,,,51.12,30.24,,2.13,2019-11-05 22:00:00,133.77,20.56,0,0,0,1,0,0
53,0.14,Novi Sad,3.49,4.07,9.42,63.76,993.73,,,,52.27,18.66,,2.26,2019-11-05 23:00:00,134.51,20.27,0,0,0,1,0,0
54,0.13,Novi Sad,3.3,4.11,9.11,62.99,993.6,,,,52.73,20.51,,1.92,2019-11-06 00:00:00,146.63,20.29,0,0,0,1,0,0
55,0.16,Novi Sad,4.54,5.75,12.75,57.63,994.29,,,,52.5,23.54,,0.46,2019-11-06 01:00:00,175.53,20.48,0,0,0,1,0,0
56,0.24,Novi Sad,4.58,5.47,12.42,46.63,996.26,,,,67.21,13.69,,0.28,2019-11-06 02:00:00,287.26,17.68,0,0,0,1,0,0
57,0.19,Novi Sad,4.05,4.94,11.16,40.11,996.77,,,,74.15,12.55,,0.73,2019-11-06 03:00:00,301.31,16.69,0,0,0,1,0,0
58,0.12,Novi Sad,3.77,4.42,10.19,33.28,998.45,,,,82.01,10.95,,0.51,2019-11-06 04:00:00,325.39,15.11,0,0,0,1,0,0
59,0.13,Novi Sad,5.43,4.86,13.19,31.14,998.53,,,,86.08,10.44,,0.3,2019-11-06 05:00:00,150.17,14.1,0,0,0,1,0,0
60,0.14,Novi Sad,3.97,7.14,13.31,29.85,998.58,,,,88.6,10.38,,0.76,2019-11-06 06:00:00,134.91,13.41,0,0,0,1,0,0
61,0.16,Novi Sad,4.66,8.08,15.22,29.79,999.43,,,,89.11,10.33,,0.73,2019-11-06 07:00:00,122.43,13.31,0,0,0,1,0,0
62,0.19,Novi Sad,4.78,10.25,17.57,24.17,1000.48,,,,88.51,9.8,,0.6,2019-11-06 08:00:00,135.87,13.71,0,0,0,1,0,0
63,0.15,Novi Sad,5.22,4.5,12.45,34.37,1000.88,,,,87.0,9.24,,0.51,2019-11-06 09:00:00,121.15,14.21,0,0,0,1,0,0
64,0.15,Novi Sad,4.34,5.01,11.68,41.9,1001.48,,,,84.1,10.11,,0.64,2019-11-06 10:00:00,142.8,15.17,0,0,0,1,0,0
65,0.15,Novi Sad,4.33,6.92,13.58,46.58,1001.52,,,,81.5,11.35,,0.98,2019-11-06 11:00:00,134.37,16.04,0,0,0,1,0,0
66,0.14,Novi Sad,3.86,7.05,13.03,50.37,1001.59,,,,78.72,11.32,,0.95,2019-11-06 12:00:00,134.13,16.34,0,0,0,1,0,0
67,0.15,Novi Sad,4.7,8.9,16.07,49.68,1001.48,,,,73.04,11.75,,0.71,2019-11-06 13:00:00,131.56,17.14,0,0,0,1,0,0
